instance,tag,solver,makespan,norm_makespan,soc,norm_soc,total_moves,norm_total_moves,exec_time,satisfied
X15Y15R1.1,0,IS,6,1.0,6,1.0,12,2.0,0.048809299999999944,True
X15Y15R1.1,0,PP,6,1.0,6,1.0,6,1.0,0.022746799999999956,True
X15Y15R1.1,0,CBS-SOC,6,1.0,6,1.0,6,1.0,0.046758100000000025,True
X15Y15R1.1,0,GICBS-SOC,6,1.0,6,1.0,6,1.0,0.03892200000000012,True
X15Y15R1.1,0,ICBS-SOC,6,1.0,6,1.0,6,1.0,0.041738300000000006,True
X15Y15R1.1,0,MCBS-SOC,6,1.0,6,1.0,6,1.0,0.045264300000000146,True
X15Y15R1.1,0,MICBS-SOC,6,1.0,6,1.0,6,1.0,0.04413520000000015,True
X15Y15R1.1,0,CBS-MS,6,1.0,6,1.0,6,1.0,0.0396166,True
X15Y15R1.1,0,GICBS-MS,6,1.0,6,1.0,6,1.0,0.0429214,True
X15Y15R1.1,0,ICBS-MS,6,1.0,6,1.0,6,1.0,0.03992370000000012,True
X15Y15R1.1,0,MCBS-MS,6,1.0,6,1.0,6,1.0,0.040601600000000015,True
X15Y15R1.1,0,MICBS-MS,6,1.0,6,1.0,6,1.0,0.03942819999999991,True
X15Y15R1.2,0,IS,20,1.0,20,1.0,40,2.0,0.23627399999999987,True
X15Y15R1.2,0,PP,20,1.0,20,1.0,20,1.0,0.23052309999999987,True
X15Y15R1.2,0,CBS-SOC,20,1.0,20,1.0,20,1.0,0.29769409999999996,True
X15Y15R1.2,0,GICBS-SOC,20,1.0,20,1.0,20,1.0,0.2564249000000003,True
X15Y15R1.2,0,ICBS-SOC,20,1.0,20,1.0,20,1.0,0.28180289999999975,True
X15Y15R1.2,0,MCBS-SOC,20,1.0,20,1.0,20,1.0,0.2737151,True
X15Y15R1.2,0,MICBS-SOC,20,1.0,20,1.0,20,1.0,0.2705248,True
X15Y15R1.2,0,CBS-MS,20,1.0,20,1.0,20,1.0,0.29868929999999994,True
